C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,G,Robin Lehner (15299770),Robin Lehner,15299770,G,8100,DAL@VGK 09/06/2020 08:00PM ET,VGK,16.56
,,,,,,,,,,G,Marc-Andre Fleury (15299771),Marc-Andre Fleury,15299771,G,7900,DAL@VGK 09/06/2020 08:00PM ET,VGK,12.64
,,,,,,,,,,G,Andrei Vasilevskiy (15299772),Andrei Vasilevskiy,15299772,G,7800,NYI@TB 09/07/2020 08:00PM ET,TB,16.66
,,,,,,,,,,G,Semyon Varlamov (15299773),Semyon Varlamov,15299773,G,7600,NYI@TB 09/07/2020 08:00PM ET,NYI,13.21
,,,,,,,,,,G,Scott Wedgewood (15299774),Scott Wedgewood,15299774,G,7600,NYI@TB 09/07/2020 08:00PM ET,TB,0
,,,,,,,,,,RW,Nikita Kucherov (15299548),Nikita Kucherov,15299548,W/UTIL,7500,NYI@TB 09/07/2020 08:00PM ET,TB,13.91
,,,,,,,,,,G,Ben Bishop (15299775),Ben Bishop,15299775,G,7400,DAL@VGK 09/06/2020 08:00PM ET,DAL,14.07
,,,,,,,,,,G,Thomas Greiss (15299776),Thomas Greiss,15299776,G,7400,NYI@TB 09/07/2020 08:00PM ET,NYI,13.53
,,,,,,,,,,LW,Max Pacioretty (15299550),Max Pacioretty,15299550,W/UTIL,7200,DAL@VGK 09/06/2020 08:00PM ET,VGK,14.63
,,,,,,,,,,G,Anton Khudobin (15299777),Anton Khudobin,15299777,G,7200,DAL@VGK 09/06/2020 08:00PM ET,DAL,16.07
,,,,,,,,,,G,Oscar Dansk (15299778),Oscar Dansk,15299778,G,6500,DAL@VGK 09/06/2020 08:00PM ET,VGK,0.7
,,,,,,,,,,G,Jake Oettinger (15299781),Jake Oettinger,15299781,G,6500,DAL@VGK 09/06/2020 08:00PM ET,DAL,0
,,,,,,,,,,G,Landon Bow (15299782),Landon Bow,15299782,G,6500,DAL@VGK 09/06/2020 08:00PM ET,DAL,0
,,,,,,,,,,G,Garret Sparks (15299785),Garret Sparks,15299785,G,6500,DAL@VGK 09/06/2020 08:00PM ET,VGK,1.4
,,,,,,,,,,G,Curtis McElhinney (15299779),Curtis McElhinney,15299779,G,6500,NYI@TB 09/07/2020 08:00PM ET,TB,13.18
,,,,,,,,,,G,Christopher Gibson (15299780),Christopher Gibson,15299780,G,6500,NYI@TB 09/07/2020 08:00PM ET,NYI,0
,,,,,,,,,,G,Jakub Skarek (15299783),Jakub Skarek,15299783,G,6500,NYI@TB 09/07/2020 08:00PM ET,NYI,0
,,,,,,,,,,G,Ilya Sorokin (15299784),Ilya Sorokin,15299784,G,6500,NYI@TB 09/07/2020 08:00PM ET,NYI,0
,,,,,,,,,,G,Mike Condon (15299786),Mike Condon,15299786,G,6500,NYI@TB 09/07/2020 08:00PM ET,TB,0
,,,,,,,,,,RW,Mark Stone (15299552),Mark Stone,15299552,W/UTIL,6400,DAL@VGK 09/06/2020 08:00PM ET,VGK,11.58
,,,,,,,,,,C,Mathew Barzal (15299482),Mathew Barzal,15299482,C/UTIL,6400,NYI@TB 09/07/2020 08:00PM ET,NYI,10.54
,,,,,,,,,,D,Shea Theodore (15299668),Shea Theodore,15299668,D/UTIL,6300,DAL@VGK 09/06/2020 08:00PM ET,VGK,11.95
,,,,,,,,,,C,Tyler Seguin (15299484),Tyler Seguin,15299484,C/UTIL,6200,DAL@VGK 09/06/2020 08:00PM ET,DAL,10.82
,,,,,,,,,,RW,Steven Stamkos (15299554),Steven Stamkos,15299554,W/UTIL,6200,NYI@TB 09/07/2020 08:00PM ET,TB,14.02
,,,,,,,,,,LW,Jonathan Marchessault (15299556),Jonathan Marchessault,15299556,W/UTIL,6000,DAL@VGK 09/06/2020 08:00PM ET,VGK,10.79
,,,,,,,,,,C,Brock Nelson (15299486),Brock Nelson,15299486,C/UTIL,6000,NYI@TB 09/07/2020 08:00PM ET,NYI,10.76
,,,,,,,,,,C,Brayden Point (15299488),Brayden Point,15299488,C/UTIL,5900,NYI@TB 09/07/2020 08:00PM ET,TB,11.20
,,,,,,,,,,LW,Anders Lee (15299558),Anders Lee,15299558,W/UTIL,5900,NYI@TB 09/07/2020 08:00PM ET,NYI,10.25
,,,,,,,,,,D,Victor Hedman (15299670),Victor Hedman,15299670,D/UTIL,5900,NYI@TB 09/07/2020 08:00PM ET,TB,11.68
,,,,,,,,,,LW,Jamie Benn (15299560),Jamie Benn,15299560,W/UTIL,5700,DAL@VGK 09/06/2020 08:00PM ET,DAL,9.75
,,,,,,,,,,C,William Karlsson (15299490),William Karlsson,15299490,C/UTIL,5500,DAL@VGK 09/06/2020 08:00PM ET,VGK,9.35
,,,,,,,,,,RW,Alexander Radulov (15299562),Alexander Radulov,15299562,W/UTIL,5300,DAL@VGK 09/06/2020 08:00PM ET,DAL,8.68
,,,,,,,,,,D,Miro Heiskanen (15299672),Miro Heiskanen,15299672,D/UTIL,5300,DAL@VGK 09/06/2020 08:00PM ET,DAL,9.75
,,,,,,,,,,LW,Anthony Beauvillier (15299564),Anthony Beauvillier,15299564,W/UTIL,5200,NYI@TB 09/07/2020 08:00PM ET,NYI,8.52
,,,,,,,,,,D,Ryan Pulock (15299674),Ryan Pulock,15299674,D/UTIL,5200,NYI@TB 09/07/2020 08:00PM ET,NYI,10.75
,,,,,,,,,,C,Joe Pavelski (15299492),Joe Pavelski,15299492,C/UTIL,5100,DAL@VGK 09/06/2020 08:00PM ET,DAL,8.32
,,,,,,,,,,LW,Ondrej Palat (15299566),Ondrej Palat,15299566,W/UTIL,5100,NYI@TB 09/07/2020 08:00PM ET,TB,8.84
,,,,,,,,,,RW,Reilly Smith (15299568),Reilly Smith,15299568,W/UTIL,5000,DAL@VGK 09/06/2020 08:00PM ET,VGK,9.70
,,,,,,,,,,D,Nate Schmidt (15299676),Nate Schmidt,15299676,D/UTIL,4900,DAL@VGK 09/06/2020 08:00PM ET,VGK,9.34
,,,,,,,,,,C,Jean-Gabriel Pageau (15299494),Jean-Gabriel Pageau,15299494,C/UTIL,4900,NYI@TB 09/07/2020 08:00PM ET,NYI,9.52
,,,,,,,,,,RW,Jordan Eberle (15299570),Jordan Eberle,15299570,W/UTIL,4900,NYI@TB 09/07/2020 08:00PM ET,NYI,9.34
,,,,,,,,,,RW,Denis Gurianov (15299572),Denis Gurianov,15299572,W/UTIL,4800,DAL@VGK 09/06/2020 08:00PM ET,DAL,7.94
,,,,,,,,,,RW,Alex Tuch (15299574),Alex Tuch,15299574,W/UTIL,4700,DAL@VGK 09/06/2020 08:00PM ET,VGK,8.02
,,,,,,,,,,D,John Klingberg (15299678),John Klingberg,15299678,D/UTIL,4700,DAL@VGK 09/06/2020 08:00PM ET,DAL,8.65
,,,,,,,,,,D,Alec Martinez (15299680),Alec Martinez,15299680,D/UTIL,4500,DAL@VGK 09/06/2020 08:00PM ET,VGK,8.64
,,,,,,,,,,LW,Blake Coleman (15299576),Blake Coleman,15299576,W/UTIL,4500,NYI@TB 09/07/2020 08:00PM ET,TB,9.75
,,,,,,,,,,C,Roope Hintz (15299496),Roope Hintz,15299496,C/UTIL,4300,DAL@VGK 09/06/2020 08:00PM ET,DAL,7.83
,,,,,,,,,,RW,Josh Bailey (15299578),Josh Bailey,15299578,W/UTIL,4300,NYI@TB 09/07/2020 08:00PM ET,NYI,7.42
,,,,,,,,,,D,Mikhail Sergachev (15299682),Mikhail Sergachev,15299682,D/UTIL,4200,NYI@TB 09/07/2020 08:00PM ET,TB,8.12
,,,,,,,,,,D,Esa Lindell (15299684),Esa Lindell,15299684,D/UTIL,4100,DAL@VGK 09/06/2020 08:00PM ET,DAL,7.56
,,,,,,,,,,C,Paul Stastny (15299498),Paul Stastny,15299498,C/UTIL,4000,DAL@VGK 09/06/2020 08:00PM ET,VGK,7.35
,,,,,,,,,,LW,Alex Killorn (15299580),Alex Killorn,15299580,W/UTIL,4000,NYI@TB 09/07/2020 08:00PM ET,TB,8.22
,,,,,,,,,,D,Devon Toews (15299686),Devon Toews,15299686,D/UTIL,4000,NYI@TB 09/07/2020 08:00PM ET,NYI,7.02
,,,,,,,,,,D,Adam Pelech (15299688),Adam Pelech,15299688,D/UTIL,3900,NYI@TB 09/07/2020 08:00PM ET,NYI,7.24
,,,,,,,,,,D,Andy Greene (15299690),Andy Greene,15299690,D/UTIL,3800,NYI@TB 09/07/2020 08:00PM ET,NYI,7.14
,,,,,,,,,,C,Anthony Cirelli (15299500),Anthony Cirelli,15299500,C/UTIL,3700,NYI@TB 09/07/2020 08:00PM ET,TB,7.46
,,,,,,,,,,D,Kevin Shattenkirk (15299692),Kevin Shattenkirk,15299692,D/UTIL,3700,NYI@TB 09/07/2020 08:00PM ET,TB,7.27
,,,,,,,,,,RW,Tyler Johnson (15299582),Tyler Johnson,15299582,W/UTIL,3600,NYI@TB 09/07/2020 08:00PM ET,TB,6.49
,,,,,,,,,,D,Scott Mayfield (15299694),Scott Mayfield,15299694,D/UTIL,3600,NYI@TB 09/07/2020 08:00PM ET,NYI,6.83
,,,,,,,,,,D,Ryan McDonagh (15299696),Ryan McDonagh,15299696,D/UTIL,3500,NYI@TB 09/07/2020 08:00PM ET,TB,6.93
,,,,,,,,,,RW,Corey Perry (15299584),Corey Perry,15299584,W/UTIL,3400,DAL@VGK 09/06/2020 08:00PM ET,DAL,5.28
,,,,,,,,,,D,Stephen Johns (15299698),Stephen Johns,15299698,D/UTIL,3400,DAL@VGK 09/06/2020 08:00PM ET,DAL,6.5
,,,,,,,,,,D,Nick Leddy (15299700),Nick Leddy,15299700,D/UTIL,3300,NYI@TB 09/07/2020 08:00PM ET,NYI,6.18
,,,,,,,,,,RW,Nick Cousins (15299586),Nick Cousins,15299586,W/UTIL,3200,DAL@VGK 09/06/2020 08:00PM ET,VGK,5.61
,,,,,,,,,,C,Yanni Gourde (15299502),Yanni Gourde,15299502,C/UTIL,3200,NYI@TB 09/07/2020 08:00PM ET,TB,5.87
,,,,,,,,,,D,Johnny Boychuk (15299702),Johnny Boychuk,15299702,D/UTIL,3200,NYI@TB 09/07/2020 08:00PM ET,NYI,6.77
,,,,,,,,,,C,Radek Faksa (15299504),Radek Faksa,15299504,C/UTIL,3100,DAL@VGK 09/06/2020 08:00PM ET,DAL,5.66
,,,,,,,,,,LW,Derick Brassard (15299588),Derick Brassard,15299588,W/UTIL,3100,NYI@TB 09/07/2020 08:00PM ET,NYI,6.36
,,,,,,,,,,D,Erik Cernak (15299704),Erik Cernak,15299704,D/UTIL,3100,NYI@TB 09/07/2020 08:00PM ET,TB,6.74
,,,,,,,,,,D,Brayden McNabb (15299706),Brayden McNabb,15299706,D/UTIL,3000,DAL@VGK 09/06/2020 08:00PM ET,VGK,5.77
,,,,,,,,,,RW,Barclay Goodrow (15299590),Barclay Goodrow,15299590,W/UTIL,3000,NYI@TB 09/07/2020 08:00PM ET,TB,5.79
,,,,,,,,,,LW,Mattias Janmark (15299592),Mattias Janmark,15299592,W/UTIL,2900,DAL@VGK 09/06/2020 08:00PM ET,DAL,4.96
,,,,,,,,,,D,Zach Bogosian (15299708),Zach Bogosian,15299708,D/UTIL,2900,NYI@TB 09/07/2020 08:00PM ET,TB,5.34
,,,,,,,,,,LW,Joel Kiviranta (15299594),Joel Kiviranta,15299594,W/UTIL,2800,DAL@VGK 09/06/2020 08:00PM ET,DAL,6.05
,,,,,,,,,,D,Nick Holden (15299710),Nick Holden,15299710,D/UTIL,2800,DAL@VGK 09/06/2020 08:00PM ET,VGK,5.57
,,,,,,,,,,C,Casey Cizikas (15299506),Casey Cizikas,15299506,C/UTIL,2800,NYI@TB 09/07/2020 08:00PM ET,NYI,4.99
,,,,,,,,,,C,Chandler Stephenson (15299508),Chandler Stephenson,15299508,C/UTIL,2700,DAL@VGK 09/06/2020 08:00PM ET,VGK,4.85
,,,,,,,,,,LW,Jason Dickinson (15299596),Jason Dickinson,15299596,W/UTIL,2700,DAL@VGK 09/06/2020 08:00PM ET,DAL,5.12
,,,,,,,,,,D,Jamie Oleksiak (15299712),Jamie Oleksiak,15299712,D/UTIL,2700,DAL@VGK 09/06/2020 08:00PM ET,DAL,4.82
,,,,,,,,,,LW,Nicolas Roy (15299598),Nicolas Roy,15299598,W/UTIL,2600,DAL@VGK 09/06/2020 08:00PM ET,VGK,5.01
,,,,,,,,,,D,Andrej Sekera (15299714),Andrej Sekera,15299714,D/UTIL,2600,DAL@VGK 09/06/2020 08:00PM ET,DAL,4.56
,,,,,,,,,,C,Cedric Paquette (15299510),Cedric Paquette,15299510,C/UTIL,2600,NYI@TB 09/07/2020 08:00PM ET,TB,4.62
,,,,,,,,,,C,Tomas Nosek (15299512),Tomas Nosek,15299512,C/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,4.39
,,,,,,,,,,C,Justin Dowling (15299514),Justin Dowling,15299514,C/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,3.43
,,,,,,,,,,C,Gage Quinney (15299518),Gage Quinney,15299518,C/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,2.67
,,,,,,,,,,C,Ty Dellandrea (15299522),Ty Dellandrea,15299522,C/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,0
,,,,,,,,,,C,Reid Duke (15299526),Reid Duke,15299526,C/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,0
,,,,,,,,,,C,Martin Hanzal (15299528),Martin Hanzal,15299528,C/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,0
,,,,,,,,,,C,Peyton Krebs (15299530),Peyton Krebs,15299530,C/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,0
,,,,,,,,,,C,Joel L'Esperance (15299532),Joel L'Esperance,15299532,C/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,4.27
,,,,,,,,,,C,Rhett Gardner (15299534),Rhett Gardner,15299534,C/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,1.82
,,,,,,,,,,C,Tanner Kero (15299542),Tanner Kero,15299542,C/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,0
,,,,,,,,,,C,Oula Palve (15299546),Oula Palve,15299546,C/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,0
,,,,,,,,,,RW,Blake Comeau (15299602),Blake Comeau,15299602,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,4.89
,,,,,,,,,,LW,William Carrier (15299608),William Carrier,15299608,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,4.00
,,,,,,,,,,LW,Andrew Cogliano (15299614),Andrew Cogliano,15299614,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,3.13
,,,,,,,,,,RW,Patrick Brown (15299620),Patrick Brown,15299620,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,8.6
,,,,,,,,,,LW,Keegan Kolesar (15299624),Keegan Kolesar,15299624,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,1.5
,,,,,,,,,,LW,Nick Caamano (15299626),Nick Caamano,15299626,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,3.08
,,,,,,,,,,RW,Ryan Reaves (15299632),Ryan Reaves,15299632,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,3.12
,,,,,,,,,,LW,Jason Robertson (15299634),Jason Robertson,15299634,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,3.67
,,,,,,,,,,LW,Brandon Pirri (15299638),Brandon Pirri,15299638,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,3.38
,,,,,,,,,,LW,Valentin Zykov (15299640),Valentin Zykov,15299640,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,3.93
,,,,,,,,,,RW,Cody Glass (15299650),Cody Glass,15299650,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,4.23
,,,,,,,,,,LW,Tyrell Goulbourne (15299652),Tyrell Goulbourne,15299652,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,0
,,,,,,,,,,LW,Curtis McKenzie (15299654),Curtis McKenzie,15299654,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,0
,,,,,,,,,,LW,Michael Mersch (15299656),Michael Mersch,15299656,W/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,0
,,,,,,,,,,D,Joel Hanley (15299716),Joel Hanley,15299716,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,3.74
,,,,,,,,,,D,Zach Whitecloud (15299718),Zach Whitecloud,15299718,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,4.40
,,,,,,,,,,D,Taylor Fedun (15299720),Taylor Fedun,15299720,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,4.40
,,,,,,,,,,D,Gavin Bayreuther (15299722),Gavin Bayreuther,15299722,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,0
,,,,,,,,,,D,Jon Merrill (15299730),Jon Merrill,15299730,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,4.36
,,,,,,,,,,D,Deryk Engelland (15299732),Deryk Engelland,15299732,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,5.67
,,,,,,,,,,D,Thomas Harley (15299734),Thomas Harley,15299734,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,1.3
,,,,,,,,,,D,Nicolas Hague (15299736),Nicolas Hague,15299736,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,4.72
,,,,,,,,,,D,Dylan Coghlan (15299742),Dylan Coghlan,15299742,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,0
,,,,,,,,,,D,Roman Polak (15299744),Roman Polak,15299744,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,5.81
,,,,,,,,,,D,Jake Bischoff (15299746),Jake Bischoff,15299746,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,6.35
,,,,,,,,,,D,Julius Honka (15299750),Julius Honka,15299750,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,0
,,,,,,,,,,D,Jaycob Megna (15299756),Jaycob Megna,15299756,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,0
,,,,,,,,,,D,Dillon Heatherington (15299758),Dillon Heatherington,15299758,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,0
,,,,,,,,,,D,Jimmy Schuldt (15299762),Jimmy Schuldt,15299762,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,VGK,0
,,,,,,,,,,D,Ben Gleason (15299764),Ben Gleason,15299764,D/UTIL,2500,DAL@VGK 09/06/2020 08:00PM ET,DAL,0
,,,,,,,,,,C,Mathieu Joseph (15299516),Mathieu Joseph,15299516,C/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,TB,3.15
,,,,,,,,,,C,Andrew Ladd (15299520),Andrew Ladd,15299520,C/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,NYI,4
,,,,,,,,,,C,Otto Koivula (15299524),Otto Koivula,15299524,C/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,NYI,0.93
,,,,,,,,,,C,Cole Bardreau (15299536),Cole Bardreau,15299536,C/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,NYI,2.98
,,,,,,,,,,C,Tanner Fritz (15299538),Tanner Fritz,15299538,C/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,NYI,0
